category,dataset,version,content_id,local_path,size_bytes,saved_timestamp,expiration_seconds,source_url
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_Store_SplitCoin-3.png,507405,16778117.3740586,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/store/T_UI_Store_SplitCoin-3.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_Store_Upgrade-2.png,653203,16778117.4654881,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/store/T_UI_Store_Upgrade-2.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_Store_SplitCoin-4.png,855721,16778117.5401023,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/store/T_UI_Store_SplitCoin-4.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_Store_SplitCoin-5.png,1157807,16778117.6382537,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/store/T_UI_Store_SplitCoin-5.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/T_UI_Store_Upgrade-3.png,935265,16778117.7999805,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/store/T_UI_Store_Upgrade-3.png
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/c636a990-40c6-5f62-aa89-44a81d0c241d.png,3101374,16778118.5249859,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/store/c636a990-40c6-5f62-aa89-44a81d0c241d
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/94fc4494-73f6-5e95-a9f4-0cc5be534328.png,3603191,16778118.8320419,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/store/94fc4494-73f6-5e95-a9f4-0cc5be534328
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/1ffb2597-3aa1-520e-955d-d8b512a6df90.png,2799698,16778119.0773619,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/store/1ffb2597-3aa1-520e-955d-d8b512a6df90
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/d1eadb83-ef96-526b-a45e-64b0d41714e3.png,3413760,16778119.3400914,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/store/d1eadb83-ef96-526b-a45e-64b0d41714e3
CMS/Assets,asset,,,PortalWars2/Saved/PersistentDownloadDir/CMS/Assets/140e432e-8e7f-5d60-a3f3-0ff3b2cea5d8.png,3348594,16778119.6130835,86400,https://cms-assets-game-tools.game-tools.mgmt.1047games.com/rooster/store/140e432e-8e7f-5d60-a3f3-0ff3b2cea5d8
